200	100
21419	10676	31687	21304	17752	8528	25427	5301	28352	22717	10845	24293	31879	2978	6465	9924	25995	5107	9840	15372	24939	5735	16663	31054	10311	21293	12027	14914	24519	28379	423	3164	22879	18343	26314	19871	1489	10969	22491	11702	16883	32384	27902	17729	24754	13156	22315	14189	5719	4925	17805	4551	10505	16162	14888	24146	2707	29252	4543	7126	16232	23772	17141	4220	14052	11106	6322	10904	30933	3584	27592	25542	19514	21574	8151	23096	15179	28959	26478	5198	6329	31492	4978	8807	27190	31855	29124	4856	23608	10387	32542	27867	8954	18506	28734	9193	27844	29519	22087	15306	
18797	27053	25188	3340	11038	8567	3246	24691	25688	23738	8784	21648	18233	23472	32488	16789	18939	32566	30001	3944	21693	28544	10976	12790	7302	6924	27595	16330	12167	8660	14416	22238	5792	200	4853	17329	12326	4475	20812	7833	10212	12829	29722	21339	12383	10665	19127	18169	24927	7263	26040	4043	24490	9333	7372	29649	12819	25354	11236	8520	26547	7515	11159	21883	29559	14905	26820	26076	24795	13243	24441	24403	17908	20784	23827	12246	5812	15703	3495	3642	15722	19667	30881	5193	7304	2265	12459	16148	23977	21036	15057	18827	12754	12363	28898	5450	26360	8424	25369	5558	
30403	31645	31996	29001	29330	15835	29061	19754	28863	21283	12928	30465	24356	11640	30516	24841	24286	16916	5701	9319	3408	15962	14041	32186	24171	2316	7418	30707	27693	25534	5436	14695	24424	16522	17311	10018	21957	8198	22966	21118	26888	2931	30729	25845	15254	32567	16057	32308	11828	22926	20834	14448	8977	8572	21061	18173	29191	14854	6311	25373	29214	21921	9844	31510	15442	15851	8488	22407	2966	17305	20975	11003	24088	27312	28939	16319	15303	9977	16503	14321	17939	15534	14794	5082	29939	6522	21341	29310	9517	14753	8368	16496	23506	28026	21002	18667	25351	4902	22368	23839	
9227	6268	10872	1481	25206	22851	1103	29446	15551	11684	439	7785	5633	15582	31556	21323	19711	26684	5225	4450	25701	25157	17887	32150	81	17970	26438	21775	23825	17317	31759	5779	9007	12951	18329	22031	15530	9106	27802	28275	3975	16417	7105	1475	16776	3974	5530	5995	26940	29610	945	30932	20536	29274	27898	3124	10915	7855	18800	5546	26616	14030	30973	26250	263	18898	8602	21238	26429	31239	14519	9646	31014	12121	15325	1576	8240	19980	23698	1252	31666	17837	9085	16890	15660	3144	20170	25077	6609	23003	28624	17635	30018	14347	3057	13229	10653	14870	17602	30629	
4278	28937	19308	4190	12964	28723	9043	31680	15744	30169	30709	17499	10857	3115	2580	18940	13259	13943	30743	30846	225	32413	26030	24803	10873	30403	18101	26788	31992	841	20827	836	7069	255	23427	10795	26890	7062	10090	1714	22784	26709	25482	635	3946	6413	25023	12803	28829	23375	18857	19834	1758	14300	19025	11218	24868	1629	3855	29718	20256	18773	31659	30973	7803	1619	29634	29375	15711	28268	12651	2855	26168	27368	28443	28649	14524	25148	26822	24375	25641	18745	30791	25231	18125	21634	20738	11223	9932	24131	7880	18603	26654	21536	3067	8182	25559	16748	29426	28095	
17579	18844	16030	12614	3249	9979	15982	16720	10343	415	29041	31423	13047	12955	3259	15717	20408	18294	16649	11034	15608	23004	936	23820	1017	3988	24210	855	27193	22194	3035	8918	2038	12814	24651	25912	10226	10740	18765	12118	21620	13597	25095	29123	13711	11742	25547	26533	9382	10144	30126	14276	6448	14480	8054	11233	21177	2968	25530	29257	25641	20109	17732	7594	1097	20650	15290	22308	18307	25917	23422	30371	9962	24224	13522	30061	30842	13675	11840	28407	15520	12264	24121	9213	25853	7623	10236	13265	30823	31763	8121	32756	14384	5477	31222	28131	10923	29272	2611	31539	
12013	11836	5321	22496	32209	1039	30744	31459	15423	10153	28897	25858	685	16182	32241	1516	32229	4329	9984	30597	3337	14575	10968	895	213	31650	22714	10026	24613	2048	6397	2445	21943	15963	26872	6069	11057	20305	20002	15181	30054	18175	1144	24431	21973	22642	27679	14266	30066	32094	31307	32165	7338	15891	12639	6162	3233	13740	25686	24871	32190	9866	18785	32345	26473	13057	8145	32457	29971	3664	27960	13268	19575	14807	5579	30693	2336	8836	21515	22414	4396	12943	21413	20696	10063	11111	29590	7383	24091	23532	29586	14209	20606	1758	4263	6592	17292	3477	21790	22981	
5502	13043	8098	9632	7675	2712	9636	19469	25495	26708	29949	18321	19098	25570	14549	32710	8450	17619	17860	13555	11211	27336	12600	18912	6509	1508	30743	24553	32167	13185	30885	31056	14971	21282	17319	5592	31354	10153	2249	32143	8257	6347	8765	11755	20292	10432	933	7448	29130	29247	4147	18321	24633	17065	7182	15342	3476	9349	7416	6396	23874	28204	20015	12819	1553	10437	19344	19876	9850	25460	26626	12818	28199	18127	17170	29891	178	31890	25051	16246	30128	16275	20265	32727	6638	10232	1758	13648	22010	1959	12436	20771	24037	27390	28035	23734	3656	4549	15781	23085	
6789	29792	16409	4926	28751	10569	21190	19009	29805	16062	21824	391	31930	23735	4847	19693	11121	17179	6254	25009	4007	30771	30769	22660	12057	15199	17003	21984	23848	4104	13358	3227	802	29909	25044	20157	15811	6946	24735	8335	29692	12974	13212	500	19186	7571	32717	25084	6986	8316	19334	28855	19364	25362	19736	17223	13413	21687	3245	32313	28858	18807	23923	31254	16602	25403	29181	5684	24971	6976	4070	11730	31975	32712	9911	25444	6240	31248	19978	13868	9218	12417	28400	5642	3832	22826	7313	27029	1362	4206	24594	14954	15109	2042	31676	31685	26675	8699	26970	8014	
23213	19597	6114	27701	16567	12662	11352	19584	4363	3604	18928	1188	13344	18324	9587	2387	21163	3941	26595	26518	28007	11244	9314	29467	8721	14714	25936	11984	16823	30587	5300	9137	7219	30192	17373	6621	9459	14111	5705	26608	21755	6536	21445	19597	28204	7708	26070	1594	966	24234	17496	7537	27692	18586	5477	5363	32743	28637	1144	29792	18926	3620	5330	24837	3364	592	29469	14581	17187	25642	2640	25691	30776	85	24530	20750	10414	20609	31458	19558	848	17376	23350	12111	13609	27614	17122	4251	8846	24845	22396	29085	12639	29790	24190	6387	2185	151	6379	4003	
