100	200
21465	30082	19641	30511	31084	30734	3465	29855	30138	2180	8774	24910	14143	5250	22243	23281	8231	916	2702	17037	20916	25860	30262	30955	18145	12276	15435	16198	581	18857	9669	4166	21305	17962	12391	1330	30269	5898	21061	7009	5272	7298	5764	28145	26431	19651	30561	14268	248	25993	6516	12680	959	23540	19510	8318	17769	32404	29634	10462	10119	32194	16344	14576	9869	20023	21543	8254	25652	6615	17868	9984	12572	13006	4630	14808	22966	15582	29324	32191	14945	247	12849	24639	24275	7945	26630	30692	12475	4630	15057	18669	31140	14987	4637	16966	15389	25296	22658	1723	10263	29214	13094	22118	11918	16785	21124	11369	30828	18302	16492	25827	17578	3334	20299	32540	29112	8683	3757	20483	13855	675	26880	14555	19557	9387	20123	13873	5680	7454	4607	23313	31407	5510	22876	3193	1078	754	18775	4366	296	21321	19722	18702	11290	1245	8012	8838	7989	23619	31027	7621	5852	11363	2520	30224	18319	25803	7002	17047	19216	23113	2342	9128	26820	32184	27509	20515	15707	29978	7190	5934	1460	19175	30829	10793	4346	10149	1212	17125	7700	18873	21665	31248	10300	12157	23776	25076	26349	10130	4707	14690	1283	15224	31359	19176	21278	10331	4217	19530	
31047	23088	9289	21040	27606	7425	5789	11293	10130	30853	5665	15520	31003	27124	16894	8654	21381	28697	21920	16879	31302	7593	16829	4216	594	9683	22163	7994	28292	5912	25457	20440	27456	14429	28536	14718	27991	15423	28579	5840	14378	16038	7685	20513	3859	16541	22098	30182	5632	5729	7073	16234	9569	31671	11120	25027	5445	17027	16873	21252	17343	20375	29540	19892	23183	22985	16172	10367	6142	8008	16262	22060	7946	1328	6895	8655	4803	21851	6822	31552	245	3707	2666	26571	24583	31333	17797	27433	9251	32432	5385	31919	12184	23423	17242	23750	8828	19611	2284	24219	19861	16581	13902	31256	19578	6986	16232	14866	2805	13271	3073	23236	14764	2191	12676	11388	30208	22107	31235	3732	10550	2945	23676	5796	25300	18553	19035	14326	12878	25340	30273	32570	17378	8029	30724	13947	17601	5148	29175	1362	21103	27577	7019	24922	31084	30918	21621	25315	1812	20544	9970	20971	12996	24095	22729	32586	25150	10284	29552	15916	3407	13075	25778	4548	1199	15801	7343	25407	8232	18127	19748	21495	6138	4264	11756	32746	3455	5959	27335	17514	1803	11453	7771	24342	25366	12210	32376	30984	1693	4161	7584	29264	19141	5897	26055	417	28098	8832	12375	31819	
2807	20107	8055	23145	24158	14924	7309	19292	22315	24635	8193	28280	15788	13433	9797	1020	28788	32097	30226	10824	31928	6751	7156	31562	5625	11525	16136	7738	12515	22619	13060	8583	17782	2679	27513	12561	31843	1102	13397	31896	19385	5066	21420	25204	18112	13341	30904	12935	9509	2132	7198	7537	17752	25647	13682	9218	11827	22320	27134	6901	21468	28146	6335	5851	9196	7612	26545	21589	7377	3670	13901	28806	29809	13851	6479	1480	4623	31824	17340	158	24435	21940	292	16619	13637	3928	9508	23393	26299	15281	5168	3899	12404	30188	18831	17455	3747	28545	32423	9374	15983	31755	22395	10255	28314	3927	14450	8667	25441	25019	10586	10281	4516	11945	27052	26397	30023	16771	6674	13389	9944	17585	7974	30325	29810	1778	8573	13675	481	10991	20196	26197	13318	29974	16617	18457	27517	11173	11422	25621	21118	15621	16281	1809	16897	8282	20031	18033	550	9304	14147	26031	27091	8280	8297	12297	8607	15275	28816	6775	3567	16174	10991	16864	9310	9502	3999	6541	12387	23342	9561	24030	19246	27351	4226	7996	2770	31728	23396	31054	11433	25982	5055	19056	16116	16589	24960	32609	3523	12992	31440	18235	22293	24421	6480	17321	2623	15308	21667	2388	
5778	12826	1582	1182	3384	19417	6683	5779	6751	22162	29092	32284	6554	13982	14990	24950	18819	23609	24563	3043	25254	3800	30789	13216	5530	701	21648	23574	13425	27848	5375	10324	2899	2192	26274	12733	11365	17586	20078	14078	13039	2409	9606	14148	16831	19807	10937	19883	16584	27843	19787	24825	7695	30364	5368	31628	5576	25693	19254	24465	17851	28601	18875	11127	4077	31416	4671	8867	4221	15883	4995	28262	10956	12701	16274	27436	29152	25450	22342	22006	28683	12436	3855	28170	4551	5299	28912	24296	14309	877	8138	1665	13543	72	24541	27556	14762	26811	2188	30905	30024	9355	17248	20145	27708	12373	15440	17469	19143	13926	10048	25918	13971	10707	16071	1661	25495	6087	8245	16797	28730	8983	10453	27982	19643	24092	14447	26051	12752	30401	32017	14693	27277	26843	11279	3529	30088	10937	19529	20703	16699	2044	30124	2669	1961	7849	10748	25020	3397	12925	10960	11154	18191	19073	28894	5215	11264	19678	10360	15035	13736	3313	22359	19984	21526	32674	3992	1428	22776	2546	21508	891	7683	7636	4500	30826	27285	6462	21044	6958	23705	7039	3272	18606	22700	17619	13933	24606	17789	5173	30977	12150	5754	22388	13029	1059	27049	24969	9217	13308	
15571	31528	27657	12919	32232	16789	15871	1565	31391	26553	27898	12859	29533	3445	13861	26843	21848	8502	27658	6386	24572	32714	26385	11483	14734	18034	24387	3332	14095	2872	4948	15080	23395	28546	24801	6205	20914	16616	12790	11886	26383	7235	25555	2635	18263	18182	2800	0	348	13010	14398	27459	5699	24388	9136	16338	6187	3602	24570	32285	7184	32086	31641	24639	750	7209	13075	21299	24105	28020	6272	4165	29484	3331	21577	27334	8784	2779	25392	9732	13568	4302	30096	26490	22300	1612	21478	6467	16282	9852	27793	20693	19571	15499	28374	3563	5565	31301	5927	26051	15380	7394	4261	28298	30271	21538	4067	32533	8721	8092	2797	5841	23692	5714	12937	509	25933	19594	4284	3606	20772	19417	28816	25235	20482	20865	29461	20947	2584	18173	30118	13908	22589	10457	11629	12325	23440	20423	7210	22174	14431	20464	16943	12878	30792	25224	12719	4917	22430	3493	26425	5939	527	32337	2944	29889	643	18653	605	24031	27206	889	27415	3917	29546	28418	30177	24574	8807	8731	12964	25802	11013	27263	15615	31843	7292	22678	27021	22410	6361	10566	22630	20867	7075	523	4328	11462	5055	13130	2743	2039	21649	29922	18434	7960	8804	20741	25864	11518	
24076	12614	16603	257	5065	16882	9060	7416	29039	8100	1192	28517	26564	788	22857	32236	31530	24368	2128	5130	1918	9582	28201	18947	31551	9312	4335	30748	19955	13449	27115	27147	13766	10095	26711	26284	24693	11505	4455	24565	13162	8923	24970	24364	22313	696	21229	343	4586	25063	11584	6133	13703	14321	702	16875	9369	24346	32359	4289	13022	822	26512	3598	25823	29374	32414	13617	21199	1571	5903	13634	12981	4450	4794	3913	19918	5081	8791	25773	25900	6745	28481	2543	18852	1916	4731	12695	10983	13881	31985	17263	25071	10933	13569	13296	15005	17756	3386	28666	160	11313	14436	12488	21400	24162	24256	19490	1659	9760	6289	21716	3640	23725	29146	8032	17307	13495	23402	32496	31857	32484	11542	20110	16364	7342	7494	6807	6729	5489	20915	32365	21423	450	28014	2669	3675	16643	16421	17953	4090	11572	31394	8886	14934	16652	3220	29104	30517	25673	3986	13276	7038	21060	25437	21638	1438	20168	24421	9453	31530	7460	15759	11252	2502	28031	8758	7706	28485	13420	25968	4524	19730	8383	402	17210	10958	9118	19190	32327	3130	16091	21755	32324	7768	3457	10318	23488	16333	15020	11880	23001	26762	23198	30296	10230	13483	23056	14019	27576	
5791	30662	12585	10029	29834	31846	23145	20295	13543	9354	27784	9869	32370	28948	17838	12305	12101	20930	14449	20130	20289	24066	12630	25666	431	4103	21909	1499	14887	13852	32541	5933	14513	3640	14808	25355	4395	16339	9776	967	16875	10233	25810	12267	7589	11165	28594	16169	3214	1071	1103	31637	26817	14961	824	4882	31202	17286	26831	15626	21506	29771	17229	26723	7619	16107	18950	1454	445	28334	31215	16801	20256	22034	23389	17351	3482	8989	21775	17782	2171	19953	12399	5378	5399	21921	13077	22832	6251	16195	29069	10477	4100	2887	16218	19264	8733	5383	24634	13182	30984	4254	24236	3517	28111	6910	11184	28554	17946	4157	27598	223	2387	7216	5465	12623	12553	14651	17397	19844	14482	4455	25943	2283	20469	30133	9036	20398	13831	24499	12029	29923	32211	12620	20849	4355	17215	9956	25939	9373	4845	12197	7670	21323	2400	8211	16278	19174	28000	29415	11489	10998	18847	3098	28085	108	18844	12864	4908	10644	24008	12823	7382	13893	27368	24672	17221	6235	2234	28141	19407	14438	5083	16892	18831	17060	5864	20163	28589	16429	20195	5196	22751	20590	20185	17795	26672	5848	1730	17294	9985	12505	12713	25436	17485	18444	28429	12673	6449	5293	
2950	10305	22187	25679	15532	3050	16546	30929	21556	24936	6694	21390	11868	13075	9978	16596	24458	6091	26191	14232	25903	12359	27347	24935	24050	3754	29674	24224	3339	15447	11323	6881	11500	20999	12655	17855	21799	22041	18741	17338	30604	21801	26506	11119	14481	26851	27191	8976	9976	8473	11675	12818	5803	788	24234	23333	8939	4904	11830	4713	7081	7307	18798	25567	25140	11112	15268	24094	30997	27950	7507	5447	19255	27438	13408	21050	28236	21349	27040	16906	25707	17302	14235	14767	8446	19101	30351	25083	21723	5119	10680	24528	17841	29125	12751	19599	13478	14475	2257	4819	6206	8660	27393	864	11647	10400	4400	13910	9299	5185	24636	3243	27437	9578	12759	26071	24047	6537	6793	24017	23564	30806	20728	10043	2537	24492	6760	21977	16778	16793	24702	11592	30314	18609	21577	18413	4266	22183	17027	10795	878	20766	32019	5593	8837	12476	32215	12787	31560	1664	9889	23183	13508	27478	17023	11539	15131	3561	11328	9382	14887	21177	15923	23268	11105	14957	28466	16598	31489	618	16607	25633	2151	13220	25390	5245	1466	5044	12580	32105	31439	11308	27358	2078	28492	23591	20692	6593	13	10276	1119	476	25542	15380	20857	11535	8938	21425	17860	28675	
1740	32018	14543	32416	1029	27004	10644	25472	9237	16508	5445	2979	12877	10546	11080	14948	12268	32240	640	31147	21384	24068	13262	23141	6063	4561	32215	6449	7375	29989	22024	31580	25171	23494	2776	30736	6927	9294	23373	456	8414	27961	10178	1031	19337	8253	8167	26954	12011	18394	4617	15675	1107	25393	16276	16167	17194	11289	23254	30898	11478	880	4613	11466	20445	30639	19332	13017	17998	6593	30562	4671	13149	5142	6692	29183	17485	14323	29892	12472	14483	29964	28153	14552	13624	28500	8377	25868	26495	10004	13308	2299	15048	26426	24516	29235	9652	28148	17242	30051	21130	894	28890	23500	9945	29497	20977	17650	28255	6908	18918	20631	11562	1198	14551	9449	23805	15893	17478	9467	6645	25321	2260	27506	620	3373	6475	23937	19998	8127	28386	27159	24714	7981	11965	18774	23196	3274	26804	20552	28552	30721	13141	11469	249	14826	18732	7640	18027	3867	2882	31707	981	961	3299	9600	5004	26095	3236	9370	18276	12853	32421	8027	25880	11893	3092	27079	16876	9970	11250	19304	16784	426	14618	19780	15432	7142	10623	9228	4170	9743	19125	2710	25191	29123	10163	8333	20974	26152	31703	8552	9166	3712	22314	1944	10490	30462	22502	28678	
25618	19416	7477	20924	12863	28318	22332	24034	31583	30154	6232	7149	11618	19096	19367	5651	1779	22808	29899	10754	30043	1665	7402	20945	2467	25032	4345	31031	18681	17009	21819	13051	23638	18854	29188	25259	25437	31110	32195	11921	28293	22207	2111	19939	25722	18527	19233	1850	22209	10727	17331	29509	2459	17313	6631	22463	13101	7476	30875	11934	13789	24182	15131	11662	23039	12929	5096	24989	19121	24841	4280	13112	23043	4589	8125	26198	20572	28427	31274	27379	19225	6233	6132	4544	28278	7730	4309	31001	28338	30189	3735	17975	13422	7348	13455	32423	8279	23699	8296	5626	12804	26576	26658	959	5665	15995	14681	30126	24526	4677	32203	29222	28994	7318	10517	32474	22452	6873	5053	8135	7803	25883	1909	17001	23924	21204	24734	26926	1700	25092	26892	11051	14110	21634	20489	23565	3879	14225	25500	28755	21913	2485	28427	29115	27269	29381	25246	6138	19740	16960	10406	22960	14544	10212	19390	2459	7606	23165	21073	21515	30767	8444	29532	12438	19399	29128	2165	7180	17757	7257	24845	11950	18565	12546	23282	25242	27690	6926	25623	7818	10872	8463	18840	22718	18424	16243	30713	26167	13821	4440	4271	18982	29760	15266	30945	6564	13767	3658	17775	18339	
